,sensor_id,Name,sensor_name,installation_date,status,note,Latitude,Longitude,location,Note,Location_Type,Status
59,60,Flinders La - Swanston St (West) Temporary,Swa31T_T,08/03/2019,R,Temporary for the duration of the metro tunnel works. Installed under the scaffolding.,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)",,,
60,13,Flagstaff Station,Wil277_T,24/03/2009,R,,-37.81239679,144.9565265,"(-37.81239679, 144.95652653)",,,
61,84,Elizabeth St - Flinders St (East) - New footpath,ElFi_T,03/12/2021,A,,-37.81798049,144.9650338,"(-37.81798049, 144.96503383)",,,
62,9,Southern Cross Station,Col700_T,23/03/2009,A,,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)",,,
63,90,Boyd Community Hub- Library,BoCoL_T,11/08/2015,A,,-37.82556206,144.9611542,"(-37.82556206, 144.96115421)",,,
64,54,Lincoln-Swanston (West),Swa607_T,26/06/2018,A,,-37.804024,144.963084,"(-37.804024, 144.963084)",,,
65,30,Lonsdale St (South),Lon189_T,14/10/2013,A,,-37.81121849,144.9665681,"(-37.81121849, 144.96656807)",,,
66,61,RMIT Building 14,RMIT14_T,28/06/2019,A,,-37.80767455,144.9630912,"(-37.80767455, 144.96309115)",,,
67,83,Pop-up Lib Elizabeth St Right entry,PoEliR_T,05/11/2021,A,,-37.80681819,144.9600158,"(-37.80681819, 144.96001576)",,,
68,38,Flinders St-Swanston St (West),Swa11_T,05/12/2014,R,Device has been removed (17/02/2017),-37.81723437,144.9671503,"(-37.81723437, 144.96715033)",,,
69,32,City Square,CSq_T,20/12/2013,R,Device has been removed (24/01/2017),-37.81573742,144.9668572,"(-37.81573742, 144.96685718)",,,
70,22,Flinders St-Elizabeth St (East),Eli274_T,12/08/2013,R,,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)",,,
71,5,Princes Bridge,PriNW_T,26/03/2009,A,,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)",,,
72,65,Swanston St - City Square,SwaCs_T,12/03/2020,A,,-37.81569416,144.9668064,"(-37.81569416, 144.96680641)",,,
73,14,Sandridge Bridge,SanBri_T,24/03/2009,R,Sensor relocated to sensor ID 25 on 2/10/2019,-37.82011242,144.962919,"(-37.82011242, 144.96291898)",,,
74,10,Victoria Point,BouHbr_T,23/04/2009,A,,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)",,,
75,21,Bourke St-Russell St (West),Rus180_T,02/09/2013,A,,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)",,,
76,37,Lygon St (East),Lyg260_T,11/02/2015,A,,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)",,,
77,4,Town Hall (West),Swa123_T,23/03/2009,A,,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",,,
78,71,Westwood Place,WestWP_T,16/10/2020,A,,-37.81235775,144.9713696,"(-37.81235775, 144.97136962)",,,
79,56,Lonsdale St - Elizabeth St (North),Lon364_T,25/07/2018,A,,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)",,,
80,42,Grattan St-Swanston St (West),UM1_T,15/04/2015,A,,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)",,,
81,34,Flinders St-Spark La,Fli32_T,08/06/2014,R,,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",,,
82,46,Pelham St (South),Pel147_T,10/07/2017,A,,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)",,,
83,39,Alfred Place,AlfPl_T,04/12/2019,A,In 4/12/2019 sensor upgraded,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)",,,
84,2,Bourke Street Mall (South),Bou283_T,30/03/2009,A,,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)",,,
85,76,Macaulay Rd- Bellair St,KenMac_T,20/02/2021,A,,-37.79453802,144.9303619,"(-37.79453802, 144.93036194)",,,
86,51,QVM-Franklin St (North),Fra118_T,30/11/2017,A,,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)",,,
87,63,231 Bourke St,Bou231_T,07/01/2020,A,,-37.81333081,144.9667557,"(-37.81333081, 144.96675572)",,,
88,87,Errol St (West),Errol23_T,20/05/2022,A,,-37.80454949,144.9492186,"(-37.80454949, 144.94921863)",,,
89,52,Elizabeth St-Lonsdale St (South),Eli263_T,31/07/2017,I,,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)",,,
90,8,Webb Bridge,WebBN_T,24/03/2009,A,,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)",,,
30,96,Fitzroy Garden Visitor Centre Internal,FitGarVisIInt_T,2015-03-02,,,-37.81499687,144.97925064,"(-37.81499687, 144.97925064)","Pushbox Upgrade, 30/06/2023",Indoor,A
31,105,Kathleen Syme Library Lib,KatLib2_T,2018-02-02,,,-37.79861828,144.9652825,"(-37.79861828, 144.9652825)",,Indoor,A
32,124,Birrarung Marr East - Batman Ave Bridge Entry,BirBridge_T,2023-06-02,,,-37.81757416,144.97329934,"(-37.81757416, 144.97329934)",,Outdoor,A
33,130,I-Hub 892 Bourke Street,Bou892T,2023-09-25,,,-37.8204637,144.94126826,"(-37.8204637, 144.94126826)",,Outdoor,A
34,133,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,Spen229_T,2023-09-25,,,-37.81531435,144.95227769,"(-37.81531435, 144.95227769)",,Outdoor,A
35,135,I-Hub Southern Cross Station - Bourke Street Entrance - South,Spen161_T,2023-09-25,,,-37.8172861,144.95319102,"(-37.8172861, 144.95319102)",,Outdoor,A
36,136,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",BirFed1120_T,2023-11-03,,,-37.8184141,144.97357915,"(-37.8184141, 144.97357915)",,Outdoor,A
37,141,Awning of Nationwide Parking 474 Flinders Street,474Fl_T,2023-11-10,,,-37.81997273,144.95834911,"(-37.81997273, 144.95834911)",,Outdoor,A
38,145,narrm ngarrgu Library - Level 1 - Lift 2,narrLibL1L2_T,2023-10-23,,,-37.80763871,144.95850722,"(-37.80763871, 144.95850722)",,Indoor,A
39,146,narrm ngarrgu Library - Level 1 - Lift 3,narrLibL1L3_T,2023-10-23,,,-37.80766922,144.95840594,"(-37.80766922, 144.95840594)",,Indoor,A
40,148,narrm ngarrgu Library - Level 1 - Meeting Room Lift 2,narrLibMRL2_T,2023-10-23,,,-37.80772224,144.95823515,"(-37.80772224, 144.95823515)",,Indoor,A
41,149,narrm ngarrgu Library - Level 1 Main Stairs A,narrLibL1MA_T,2023-10-23,,,-37.80781158,144.9582219,"(-37.80781158, 144.9582219)",,Indoor,A
42,151,narrm ngarrgu Library - Level 2 - Collections Stairs A,narrLibL2CA_T,2023-10-23,,,-37.80771581,144.9586238,"(-37.80771581, 144.9586238)",,Indoor,A
43,153,narrm ngarrgu Library - Level 2 - Study Area Lifts 2,narrLibL2S2_T,2023-10-23,,,-37.80780367,144.95829765,"(-37.80780367, 144.95829765)",,Indoor,A
44,159,516 Elizeberth Street,Eli516_T,2024-01-29,,,-37.80651646,144.96007934,"(-37.80651646, 144.96007934)",,Indoor,A
45,162,iHub 489 Elizabeth Street,Eli489_T,2024-07-01,,,-37.80740397,144.95987909,"(-37.80740397, 144.95987909)",,Outdoor,A
46,163,,BouBri_T,,,,-37.81772389,144.95025529,"(-37.81772389, 144.95025529)",,Unkown - No Type,A
78,94,Fitzroy Garden- The Conservatory,FitConVis_T,2015-03-02,,,-37.81424531,144.97851861,"(-37.81424531, 144.97851861)",,Indoor,A
79,103,Kensington Town Hall,KenTown_T,2018-02-02,,,-37.7893527,144.9286055,"(-37.7893527, 144.9286055)",Device Replace,Indoor,A
80,104,Kathleen Syme Library Main,KatLib1_T,2018-02-02,,,-37.79863553,144.96548206,"(-37.79863553, 144.96548206)",,Indoor,A
81,108,William St - Little Lonsdale St (West),261Will_T,2022-10-08,,,-37.81295822,144.95678789,"(-37.81295822, 144.95678789)",,Outdoor,A
82,116,Fitzroy Garden Visitor Centre Cafe Verandah,FitCafVis_T,2015-03-02,,,-37.81493732,144.97932442,"(-37.81493732, 144.97932442)","Pushbox Upgrade, 30/06/2023",Indoor,A
83,117,114 Flinders Street Car Park Footpath,Fli114F_T,2022-12-06,,,-37.81629332,144.97090877,"(-37.81629332, 144.97090877)",,Outdoor,A
84,118,114 Flinders Street Car Park Crossing,Fli114C_T,2022-12-06,,,-37.81632783,144.97090512,"(-37.81632783, 144.97090512)",,Outdoor,A
85,123,Birrarung Marr East - Batman Ave Bridge Entry,BirBridge_T,2023-06-02,,,-37.81753741,144.97329734,"(-37.81753741, 144.97329734)",<Null>,Outdoor,A
86,131,I-Hub Corner of King Street and Flinders Street (2-6 King),King2_T,2023-09-25,,,-37.82009057,144.95758725,"(-37.82009057, 144.95758725)",,Outdoor,A
87,137,"COM Pole 2353 - Towards the city, NAB Building",BouHbr2353_T,2023-11-03,,,-37.81894815,144.94612292,"(-37.81894815, 144.94612292)",,Outdoor,A
88,138,"COM Pole 1671 - Enterprize Park, Queens Bridge",EntPark1671_T,2023-11-20,,,-37.81996544,144.95981454,"(-37.81996544, 144.95981454)",,Outdoor,A
89,139,COM Pole 1647 - Sandridge Bridge Signal Box,Signal1647_T,2023-11-20,,,-37.81959923,144.9632832,"(-37.81959923, 144.9632832)",,Outdoor,A
90,142,COM Pole 1584 - Hammer Hall Entrance,Hammer1584_T,2023-11-03,,,-37.81970749,144.96795734,"(-37.81970749, 144.96795734)",,Outdoor,A
91,143,"Mounted on Toilet - Spencer Street, Batman Park",Spencer_T,2024-04-10,,,-37.821728,144.95557015,"(-37.821728, 144.95557015)",,Outdoor,A
92,144,narrm ngarrgu Library - Level 1 - Lift 1,narrLibL1L1_T,2023-10-23,,,-37.80760657,144.95862847,"(-37.80760657, 144.95862847)",,Indoor,A
93,147,narrm ngarrgu Library - Level 1 - Meeting Room Lift 1,narrLibMRL1_T,2023-10-23,,,-37.80769805,144.95832131,"(-37.80769805, 144.95832131)",,Indoor,A
94,155,narrm ngarrgu Library - Level 3 Children's Library Door 2,narrLibL#C2_T,2023-10-23,,,-37.80783201,144.95845043,"(-37.80783201, 144.95845043)",,Indoor,A
95,156,,BouHbr2359_T,,,,-37.81821294,144.94577313,"(-37.81821294, 144.94577313)",,Unkown - No Type,A
96,160,"City Baths, 420 Swanston Street - Main Entry",Swa420_T,2024-06-04,,,-37.80699526,144.96306214,"(-37.80699526, 144.96306214)",,Indoor,A
